text,likes,impressions,followers
I'm hanging out with my bf 9-11th February so that might mess with the abc diet a bit. Might switch around some of the 500 cal days and see if he has a gym nearby his campus/on his campus,3,144,436
"(Yawn) For today’s breakfast, Matthew has prepared some warm milk and fishoil tea. Mm… just the thought of it is… making me sleepy… (Yawn) see you at lunch, kids.",0,14,71
Nothing worse than scrolling thro after lunch and someone's got his dick out,1,81,311
"Any dommes in London today or next week that I can buy lunch or dinner for? Please dm x

findom finD findomme femdom paypig paypiggy finsub cashcow humanatm sph kiksession skypesession footbitch footfetish walletdrain cei joi ct pindick goddess domme exposure humiliation",12,505,150
"In Washington DC.
It's quite warm this Winter, now snow! Climate change is real! 
Organic food everywhere - Green Tea!
Say NO to GMO!",132,49060,137714
Name one cuisine which is halal but you've never tried it?,4,135,1107
cHANYEOL SENT A FOOD TRUCK TO JUNMYEON 😭😭😭,0,41,2197
"Day 8 of #DryJanuary and low kcal diet, and I'm already thinking about what treat I can have on the 28th for the #RoyalRumble 😂👋",2,208,1846
Made such a nice lazy Sunday lunch 🫶🏾,1,180,4663
“i feel like i have ‘english teacher the closest kids have lunch with’ energy” “i wonder why that is. do you think it’s the rainbow earrings? the mushroom sweater? or maybe the flower socks?”,5,183,668
i went to a really good restaurant last night that served a bunch of japanese italian fusion dishes and all i could think abt the whole time was kojiro nanjo and how i was absolutely gonna steal some of the dishes for a fic at some point,1,34,23
You go to one debrief lunch with gay people and then it traumatizes you for the rest of your life (hyperbole) I can’t live like this any longer (hyperbole),2,93,50
"i wanna count my obese brothers cals for a day lol he deadass ordered doordash every morning for breakfast, has fast food for lunch, and whatever for dinner AND eats a crazy amount of snacks. and then has the nerve to complain about being 300+ lbs 😭",0,32,47
"I’ve been to buy meds, I’ve taken the meds, I also bought comfort food and the Masters is on the telly. Feeling gritty but on the way to a warm and fuzzy evening.",3,71,836
Chanyeol sent food truck to Suho’s filming. Imma cry 🥹😭,0,40,1454
"[230108] 23:54 — 🐺

hello~~~

i’m practicing right now~🤩

i’m practicing for the concert

i’m on a diet so i’m not eating anything amazing

practicing the fanchant doesn’t sound too bad?!?

sushi is a diet food..

but today is real diet

pork belly is protein

+",104,4063,2566
"My dad asked me to come visit today and thirty minutes into my visit he and my mum left to their friend’s place. Almost two hours later, he calls me to tell me that he sent someone to come get me so I come eat. I get here and it’s a whole 25th anniversary lunch for my parents??",0,275,354
"Ma gran thinks my son can do wrong...

My son doesn't eat his lunch: Oh, he's a good boy!

My son is cheeky: Oh, he's a good boy!

My son causes WW3: Oh, he's a good boy!",1,121,540
# At least one corner of the cryptosphere is booming 🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊Russia and Ukraine sign grain deal to avert global food crisis,0,0,0
"diet plan for next few weeks
- finish 111hr fast on jan 11th
- 100cal on jan 11th, daily then increase by 100cals, ending on 800cal
- 5 days of maintenance 800-1k cals net
- 70cals a day for one week or however long i wanna go, then slowly increase cals back to a maintenance week",0,68,171
"Today’s lunch: some apple slices 

Current weight: 65.2 kg 

How do u guys ween urself off certain foods u like? #edtwt",0,96,16
Stop dating people that only want you when you’re aesthetically pleasing!!!!!!!!YES a snack is a quick fix 👀 but there is nothing like soul food,1,23,38
"Blackcap in the garden lunch time.  Hoping it might reappear for a photo but no luck so far.  First winter one I've had here, once again it's down to the draw of ivy berries.",3,155,267
"I’m fine with problematizing/ not teaching Western canon.

European culture really only should be for people who go to Europe annually, live in a city w/ good Shakespeare productions, can afford the food/ wine, have leisure time for Russian novels.

Make it elitist again.
…",67,9843,12292
"Your diet should consist of more nutrient dense foods with little solid fats and less added sugars 

More nutrient dense foods provide more nutrients per calorie 

They're also less calorically dense than your typical processed, wrapped foods.",0,34,94
Fasting works better and quicker than dieting ‼️,1,153,258
"Saw a girl I went to high school out at Sunday lunch today and offered to hang out with her sometime and I don’t know why I did that, I do not want to hang out. Ever.",1,446,118
"This Mon, I will make 🌮 for lunch 💃",0,0,14
"so i’ve seen a few tiktoks saying that changing your diet is the way to lose weight?? and not exercise?? surely that’s wrong, i can stop eating but i’m still consuming calories and not burning them off? or am i just being stupid",0,51,1158
"I was thrown out of weight watchers this afternoon for making sarcastic comments during the weigh in.
Of course, I accepted their decision with enormous Grace because she was thrown out too.",616,15947,30371
Happiness is... baking a cake and gobbling it all up without guilt.,2,126,5248
Cracked the BEST streusel coffee cake recipe. So so good 🤤,2,330,3112
"Hello peoples! I have a smoothie recipe for you!

THIS MAKES 2 SERVINGS!

1 1/2 cups of almond milk
1/4 cashew butter
1 scoop of protein powder
1 banana
1 cup of ice (Or more to the consistency of your liking)
Then Blend!",1,10,9
Pepper soup and white rice combo is 🥵,12,1045,5359
Lemme make my protein smoothie 😊,0,30,3776
Pho is my comfort food,0,21,109
And I want African food 🤦🏾‍♂️,0,78,692
risking a delivered ramen w/soup today,1,12,76
"My ultimate diet cheat flex is that I actually like oat and a lot of veggies, and also not like sugar and fried stuff",4,450,451
I act like I'm okay but deep down I miss Nepal ko Momo,0,46,195
I’m already thinking about what’s for lunch 😂 I do not eat breakfast the way I need too,0,155,226
I made Sunday lunch today &amp; now everyone is looking at me with eyes of concern 😅,0,237,122
fulfilled the prophecy of being a dual citizen (ate burger king at the airport as my last meal in spain),2,60,210
"Here's an easy one. Create your lunch with bok choy, fish, béchamel sauce, and fregula 🤪",0,0,8
"this is a lunch's menu, Roasted Mushroom🍄, severed with Potatoes🥔 , then vegetable for today will recommend with  Leafy Green🥬",0,0,31
i care for Mario because they stole my lunch money!,1,7,119
"# Two sensible, crowded trades 🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚Home cocktail-making boosts revenues despite supply chain disruptions",0,0,1
"Been out for Sunday lunch, now back to read more of #TheBulletThatMissed whilst the snooker is on in the background. Bliss.",3,115,294
Thinking about having this lunch thing with my sisters during the week when they both are in the office... We dont bond like at all 😩,3,162,2537
"ㅤ
ㅤ
      psht , students. 

how about we organise a fair , here at the nevermore academy ?  
          food trucks , rides 
                      and
                    games !

( ps ; if your name ends with weems -- don't read this , it is a surprise. )",6,359,323
Attempting to make Southern Sea Food Gumbo with my Great Aunt’s recipe. Wish me luck ☺️,0,330,549
"Even better with age. Unlike the brewery. It's ok, but nothing pops on the right. Damned fine!!!!",0,10,47
"Last night I looked at myself in the mirror, was repulsed so i punched the hell out of my stomach 🙃 I hate how I look. Really really really hate how I look but I have zero motivation for diet changing and fitness. Little depression demon is keeping me down.
#mentalhealth",1,19,99
I miss drinking Kombucha for free at work lml I need to get some it’s been a while,0,150,272
I used to have 500 pesos a day for lunch money(2016) now you’re telling me kids are getting 5k a week?!? Fuck this I ain’t getting a child💀,14,1812,4660
I had a dream I was in NYC eating Jollof Rice. Think it’s a sign to go back .,1,52,63
"I don’t get how nobody talks about beetroot on here. It’s insanely low calorie, very filling, absolutely delicious and has so many health benefits, how can you NOT eat it especially if you’re on a diet..justice for beetroot.",7,151,1087
my college-kada planned to bring packed lunch na para iwas gastos this 2023 🤪🤘🏼,0,164,1231
Pizza 🍕 Type of day lunch time hurry up a chick ready to eat ! 😂,0,33,85
"Good morning Belleville! We open at 11am @quintemall location &amp; look forward to serving you.

Today's soup is Cream of Potato &amp; we're pleased to feature:

APPY: Half-Priced Wings
$13 Lunch Pizza: Your favorite!
Sandwich: Big Dipper",1,47,1123
Making lunch.,0,2,1
"We're all packed up. Going to take a walk on the beach, have some lunch, maybe to the store, dinner and head home. It was a good few days with family and friends but I'm ready to get back to our normal ❤️",12,598,391
"ive been on time alll week my boss said "" what you want for lunch its on mee. "" guess ima have to start coming on time more often 😅",0,65,737
"5 best doctors in the world.
1: Sun
2:Rest 
3:Diet
4:Exercise
5:Self-Respect",1,38,122
I think we are eating Ramen today 🫶🏻,1,171,327
I’m addicted I don’t even take a lunch break off 🤑🤦🏽‍♂️,0,41,171
Read War and Peace and drink some chilled kombucha from a medieval goblet.,0,0,20
"I asked this Turkish guy for directions, and I literally said thank you in Turkish. He then asked me if I wanted a job at the Turkish restaurant. 😂",2,282,488
Shroom smoothie,0,71,871
"Very insightful analysis by @AlexNeilSNP on the state of the Scottish Parliament today. In the early days of the Parliament I 'd worked with Alex on cross-party bills to abolish warrant sales, introduce free and healthy school meals and indeed Alex's own Bank Arrestment Bill /",13,3644,12052
Should give street food a shot tomorrow. Fingers crossed.,0,145,5470
# Decision follows sharp rise in food prices due to Russias invasion of Ukraine and Covid pandemic 🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗Western sanctions disrupt traders’ ability to buy and sell Russian assets,0,3,0
I just realised I don’t have a favorite food per-se I have a comfort food,1,27,24
Time for lunch,0,6,150
back at school and i already miss cava and tropical smoothie 💔💔they need to make one over here,0,246,1740
# A choice between utopian and dystopian paths is likely to shape business for a decade 🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑Russia’s invasion to have ‘enormous impact’ on world food supplies,0,1,2
I know it's like 10am here but I'm already really excited about my salmon and salad I have planned for lunch 😋😂,12,234,898
cheese toasties is an underrated breakfast/lunch,0,96,689
Binged the entirety of Darling In The Franxx and now I'm moving on to Spy X Family next! Any other anime recommendations I should check out to spending my lunch/evenings on?,3,191,142
church &amp; lunch with dad 🤍,0,267,2105
Bookmark this plant-based ONE-PAN MEDITERRANEAN DINNER 🌶️🥕🍠🍚follow @Iupilon for more easy healthy recipes!,0,19,377
Lunch time in brazil ! Go grab some food ! :),7,305,563
# Decision follows sharp rise in food prices due to Russias invasion of Ukraine and Covid pandemic 🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳Wintershall Dea to receive no Russian revenues until sanctions lifted,0,6,2
"Academics and readers: I'm looking for short stories, novels, plays that focus on courtship meals (dinner dates, lunch dates, etc.). Any time food enables, accompanies, or confounds a wooing. Please share any titles that spring to mind? Thanks. #foodstudies #foodliterature",5,1045,76
"No pill is going to make you happy.

No magic diet is going to help you lose 40 pounds in a month.

No secret investment the rich don’t want you to know will make you a millionaire.

There are no quick fixes in life.

Anyone that tells you there are is trying to scam you.",4,268,811
"Fermented foods will change your life. Organic sauerkraut, kombucha, yogurt/kefir, fermented garlic. Add these to your diet and limit alcohol. Better immune system, sharper mind, and better performing investment portfolio will result.",4,135,104
It's very easy to shame men when it comes to sex vs women. People shame men who need pills to get hard at 25 but no one shames women who don't get wet enough even this is mostly caused by saturated fat diet not drugs or psychological factors  as a lot of people,0,86,66
"1. Tylenol
2. During lunch in my car
3. That’s the exact reason I didn’t, imagine toddler’s faces and crying.",0,2,36
"crepe: skiry with weird partign in tje middle 
 
 mayu: thats called shorts crepe,,",0,2,169
"after i finished up the lunch announcements, i left to tear joshua a new one, but i was stopped by marisol, and she told me something… something that threw me off quite a bit.",0,23,21
Sun dried tomato chicken with Cous cous for lunch 😋😋,4,117,2023
"God is wonderful eh, the person next to me in the bus is smelling like a pot of rich afang soup!! How? How??? How is an oyibo smelling like afang?",2,350,10497
# Wall Street lenders expected to generate significant losses after agreeing to fund deal before economic slowdown 🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊🍯🍞🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊Food crisis looms as Ukrainian wheat shipments grind to halt,0,5,1
I didn’t even eat Mexican food until I got stationed in Oklahoma. Now my place of choice knows my order by HEART,2,544,3178
"Ladies and gentlemen, I am formally on a diet again. I would really like to maintain a healthy weight, and feel good when I look in the mirror. So, back on pace, spinach, tuna and chicken breast.",1,205,736
"“Lunch would be wonderful, Hogelten. Please do have your servants provide. We’re guests after all. Come, Sonia,” said the orange girl.
“I like food!” yelped the patchwork girl happily.",0,5,12
"3 one-person business killers:

Poor diet
Insufficient sleep
Lack of exercise

Take care of yourself by making healthy choices in these areas. Your business (and overall well-being) will thank you.",9,241,162
"Animals dont pretend to be nice and ask you to sit with them at them at lunch to share hamster care tips, just so they can pull your chair from under you and watch you spill food all over yourself!",0,21,18
"My taboo take as a dietitian:
  
If you have a healthy relationship with food, tracking your intake for 1-7 days is the quickest way to transform your diet.

Don’t knock me till you try it.",1,41,31
The only thing missing in the moi moi I made today is leaf. I dey cook yati,0,0,0
"I eat boys up, breakfast and lunch
Then when I'm thirsty, I drink their blood
Carnivore animal, I am a cannibal",0,1,20
