text,likes,impressions,followers,popularity,pop_level
"for dinner tonight, a version of coq au vin, alfredo farfalle,  sauteed broccoli with radish greens",0.0,14.0,221.0,0.4402108925524502,0
"Nashua Liberty Social - 5:30 to 7 tonight at @Able_Beer.
Donali Food Truck is there today but wraps up at 6PM so if you are looking for food, please be there before that.",0.0,39.0,284.0,0.4241012201752366,0
chanyeol sent a food truck to junmyeon 🥺🥺🥺💘,1.0,64.0,1804.0,0.5642175832765288,1
"That's the thing, Drack. I had a load of garlic the good kind to use. Popular. And went through it all overnight while I was upside down asleep. I wonder when Mario's gonna bring his food truck IRL *hiss #randomthoughts #videogames #nom #vampires",0.0,28.0,339.0,0.41248217036707874,0
Bouda go make a smoothie,0.0,177.0,1991.0,0.2729830637816242,0
"Had lunch with a dear friend. At the end, she told me she completely understands what I am going through with my husband dying, because she got divorced, which i supported her through, and I know it really devastated her. It still felt like a punch. #Anticipatorygrief #als",1.0,34.0,18.0,1.219749174580296,1
check on yalls food truck warrior oomf lmao,14.0,3177.0,203.0,6.684008055988638,2
Alligator pepper soup 😮‍💨,1.0,90.0,625.0,0.7396520088158073,1
"I really need a break from work, a break from everything really. Just like a chill couple of days where I can go to a garden and a farmers market and take naps and eat fruit and go hang out in nature",2.0,26.0,63.0,1.5599884892696265,1
how can i describe this new fear i’ve adapted where it’s like if i eat let’s says salmon for lunch i’m not capable of eating any other protein after that or when a friend wants me to try their burger while i’m eating chicken i start freaking out in my head,4.0,459.0,3001.0,1.1690232885862484,1
"Happy Sunday Funday. Here's a brunch cocktail to get you started! 
1 oz. Rabbit Hole Cavehill Bourbon
½ oz. Cointreau
7 dashes Angostura bitters
7 dashes Peychaud’s bitters
Champagne",7.0,965.0,6445.0,1.2831972445181026,1
need to find a good smoothie spot,1.0,211.0,886.0,0.6862207241624763,1
"Lemme go and watch this match in a bar, with 2 bottles of Guinness stout and a plate of catfish pepper soup. 

If Chelsea win, na match I come watch. If we lose, na flexing.",283.0,12691.0,93193.0,5.462807220698319,2
"Yesterday I took myself out to lunch alone , I hate it was lonely as hell but imma try again soon.",1.0,84.0,745.0,0.7132624752693685,1
TeddyKillerz: I fucking love french onion soup,1.0,83.0,660.0,0.7315691457171445,1
anybody know of some good Thai food in Brooklyn?,1.0,185.0,721.0,0.7182575104911967,1
worst part ab opening is that when it comes time for my lunch break its only 10am and lunch places arent open yet but its too late for breakfast bc ive been up since 4:30 am,1.0,69.0,612.0,0.7427458548032952,1
I want some soul food,0.0,90.0,811.0,0.3500739118781476,0
"I starting my lunch from now bc when I’m ready to eat, I don’t wanna be waiting",0.0,100.0,807.0,0.3504592060985587,0
cutieee chanyeol sent a food truck to suho 🥰💛,0.0,46.0,1028.0,0.3310971489039615,0
I know what I’m doing for dinner already lol but still no idea what i want for lunch 😩,0.0,37.0,844.0,0.34695057606965063,0
traded in going to bars to getting brunch/lunch/dinner lmao,0.0,49.0,381.0,0.4046689352497436,0
"Scientific fact: Tomatoes are technically a fruit because they have a saccharine based flesh that contains seeds.

Culinary fact: Ketchup is technically a smoothie.",17.0,480.0,2146.0,4.787232299572138,2
My fiancé stays feeding me good ass food I always have to come back to Germany and do a cleanse. I’m worried about how it’ll be when we live together 😂,1.0,91.0,158.0,0.9227748432201418,1
"TartaLi 

Zhongli finding a pregnancy test on his office desk after talking to a client. He’s about to return it to the woman but Childe came to pick him up for their lunch.

💧You’re pregnant?!
🔶I’m not—
💧Since when?
🔶This is not—
💧Not mine?!?
🔶NO! I meant I’m not pregnant!",260.0,3756.0,6162.0,42.94585976817622,2
AHHHHH CHANYEOL GAVE FOOD TRUCK TO SUHOOO 😻,1.0,32.0,197.0,0.8949959788602804,1
"Smoothie &amp; Sampling with a splash of Homemade Apple Cinnamon Oatmeal
.
Enjoy your day",9.0,827.0,1953.0,2.747769076114485,2
Came to church to eat and now how do I ask if the food is halal 😭,3.0,1190.0,1165.0,1.2827202008251746,1
Society eats so much junk food that eating real food is considered dieting,0.0,241.0,203.0,0.4456005370659092,0
Anyway am auto unfollowing or blocking people who write essays on my twitter 🙄 look man I’m not here for your novel length recount of what you had for lunch,16.0,1337.0,18646.0,1.3264087740336095,1
"You have a big circle of friends but none of them knows if you had lunch🤔, young king you’re alone in this world👌",2.0,41.0,1513.0,0.8940455397978397,1
Cooking dinner tonight. Well lunch for dinner,1.0,236.0,2083.0,0.5375169147029286,1
"Americans, it’s your drugs, food and diets killing you. If only you would ban unneeded meds. McDonalds and bars like you banned children’s lives, you may have actually saved lives.
Instead, you ruined them.",2.0,56.0,1851.0,0.8392280053692912,1
Sometimes you need a simple meal like Ramen Noodles. Don't judge me. I said what I said.,1.0,48.0,1171.0,0.6404925711789183,1
"CHRISTOPHER CAREY, ST. LOUIS POST DISPATCH BUSINESS REPORTER TOOK ME TO LUNCH AND COLLECTED INFO. HE WAS NO LONGER ALLOWED TO WRITE ABOUT MYSELF OR COBALT SITE. HIS ONLINE SHARESLEUTH WAS LATER BOUGHT BY BILLIONAIRE MARK CUBAN.",1.0,29.0,934.0,0.677783211590561,1
First new recipe of 2023 happening today! Lemon garlic chicken. I'm serving it with roasted butternut squash and pilaf,3.0,120.0,167.0,1.8316276675862635,1
When I’m home my mom loooooves to say “can you make lunch” and then leave,2.0,58.0,26.0,1.7451289664108138,1
"A lunch date or a coffee date during the week works so much better for me! As a single parent, my minions are in school so I don't have to ""find a sitter"". That gives us time to talk, enjoy the food, walk around for a little etc uninterrupted",3.0,156.0,2592.0,0.9918915291715227,1
"Workout and then lunch. 
Hope everyone has a wonderful day today.",2.0,55.0,982.0,1.0045159745204646,1
"We do business together, we marry each other you buy my spare parts, I chop your suya but when It comes to elections, making a critical decision which will bring development. you become my hardcore enemy.courtesy of our leaders . We need to wake up",6.0,345.0,2613.0,1.730376102891318,1
I made this smoothie thick as a mf I’m eating it with a spoon😂 I refuse to rewash this blender,1.0,85.0,670.0,0.729322192964514,1
I love cooking for people but a meal prep job...whew I need to practice my time management in the kitchen and refine my skills. Also I'm not hella familiar with cooking Korean cuisine so they better get used to Caribbean/fusion food.,5.0,186.0,1375.0,1.8386866317956214,1
This little diet and gym shit is kicking my ass. I just wanna be rich and get lipo…,0.0,190.0,13371.0,0.1000204228797696,0
chanyeol sent a food truck to suho 🥹,0.0,74.0,308.0,0.4188068528802556,0
"Iru and garri for lunch, you nko",0.0,25.0,176.0,0.45460564216321614,0
"Yeah, Im losing weight rapidly on this liquid diet, but on the bright side, I'm feeling great!

No sluggishness or bloating whatsoever just pure energy and focus.

20 more days to go on this liquid diet, it’s challenging, but increased energy makes it worth it.",21.0,1556.0,25963.0,1.317491753411286,1
FOOD TRUCK FROM CHANYEOL 😭❤️,0.0,32.0,382.0,0.4044920748342126,0
"My Sunday Plan: 2 errands, lunch, 🎄 takedown, &amp; some sm 🏡 tasks then chilling in the evening provided I don’t get distracted",0.0,32.0,601.0,0.3727024304129231,0
"Making Paella tonight: chicken, sausage, saffron, whole lot of paprika.",1.0,64.0,1376.0,0.6127685372303429,1
Dal khichdi is my fav comfort food man. Can never go wrong with it,2.0,314.0,1106.0,0.9751252039482781,1
chanyeol sent a food truck to junmyeon 😭😭😭 what if umiyak ako fr fr???!,2.0,121.0,223.0,1.3189131903109526,1
I’m hungry guess I’ll eat my lunch at like 11,0.0,137.0,14180.0,0.09585990138999056,0
"Hi, I'm back on my 4 hours a night sleep schedule. Today I remembered to add honey to my smoothie. I'm waiting for a pizza to finish cooking. I plan on setting aside time to read today. I might do another load of laundry, but I'm definitely going to continue organizing/cleaning.",5.0,99.0,320.0,2.497771270146006,2
miss my ex just bcs of instant noodle. 🤧,0.0,32.0,538.0,0.38071604443340407,0
"Y'all health mofos need to wake up on the benefits of the Mediterranean Diet. Yeah switch the protein upwards but only eating rice and chicken just doesnt feel the same. Get that extra virgin olive oil veggies, fruits, legumes, nuts in your system and feel the difference",0.0,57.0,140.0,0.46898112749787696,0
Please don’t judge me but for lunch I have consumed a bounty bar and a huge wedge of Xmas cake,1.0,47.0,67.0,1.0319107153531253,1
I want a smoothie maker.,0.0,99.0,3172.0,0.2284149509979747,0
For the last 2 years Me and Wife spin a globe and wherever we stop at is where we get Lunch…Today is Lebanese 🔥🔥🔥🔥,11.0,716.0,1394.0,3.6629697146637494,2
My toxic trait is I load $25 onto my @ChickfilA app just to have ‘free’ lunch for the next days,3.0,595.0,891.0,1.3706508437413505,1
"My Dad, 80, casually revealed at lunch today that he was the Director of the Scottish Manned Spaced Flight Programme. He had a tie and everything. How did I not know this? 🚀🏴󠁧󠁢󠁳󠁣󠁴󠁿😂",1.0,59.0,138.0,0.939769186856386,1
"Just got my copy of @thefullhelping’s The Vegan Week cookbook and OMG it’s gorgeous! Especially the paper used for the pages. 

This is my seventh or eighth cookbook I’ve recipe tested for and it’s always an honour. Can’t wait to dive back into these recipes!",1.0,86.0,120.0,0.9573410916153147,1
ice cream will always be my comfort food,1.0,33.0,11.0,1.3006734718023913,1
Abeg Abeg ! Naming ceremony/ burial jollof rice dey hungry me chop like this..any location???,0.0,70.0,166.0,0.4582844088845971,0
all these food trucks whew it's exo's actor era truly,0.0,28.0,737.0,0.35745663687007606,0
"go grab some lunch nd
eat some cucumberrrrs
/lyrics",0.0,45.0,185.0,0.4514645522363393,0
chanyeol sent a food truck for junmyeon 🥺,0.0,21.0,1970.0,0.2739707554490157,0
any1 on dis tl ever tried cutting out sugar from their diet?,0.0,239.0,284.0,0.4241012201752366,0
"I just want to make me breakfast , lunch , dinner , play my game and watch my show with my phone on dnd .. Don’t bother me I’m in my own world",0.0,99.0,5792.0,0.17031551680919962,0
chanyeol sent a food truck to junmyeon's filming site 🥺🤍,2.0,51.0,214.0,1.3267678681034771,1
"Interesting Sunday lunch conversation. A consensus that life at the start of 2023 could not be expressed in such emotions as anxiety, despair, hope or faith but only as unutterable boredom. Now I know that the system is doomed. People cannot stand to be bored for long.",2.0,96.0,1498.0,0.8967028914196462,1
Chanyeol sent food truck to his junmyeon hyung 🥺,0.0,34.0,248.0,0.43284970523754873,0
"Azerbaijani media reports that a few days ago a Karabakh Armenian resident somehow managed to approach an Azerbaijani military post near Lachin to ask for food and cigarettes. Today, with plastic bags, he was taken to Stepanakert by Russian peacekeepers. Pics, videos circulating.",6.0,2362.0,12432.0,0.7373617436439411,1
"Look, when I was 22 I was skinny, white, clear, &amp;hot as fvck. my only diet was water, ramen, coffee, vodka&amp;capri. The only exercise I have is walking drunk at the party with my 5inches kitten heels. You don’t impress me. Come back when you’re 40😉",0.0,29.0,97.0,0.4921235415714644,0
i think a lot of southern food started with french inspired recipes but eventually devolved into fried pork with nothing but salt,3.0,99.0,186.0,1.8044988131233317,1
Swiss chocolate in the smoothie,0.0,352.0,7831.0,0.14289796318144912,0
"Aaaaa so sweet
Chanyeol sent food truck for Suho 🥰",0.0,67.0,314.0,0.4175404838189659,0
Definitely want comfort food today.,0.0,102.0,1607.0,0.29262122620537584,0
chanyeol sent a food truck for suho? 🥺🫶🏼,1.0,219.0,2036.0,0.5417924219146861,1
chanyeol sent a food truck to junmyeon 🥺,0.0,34.0,370.0,0.4066409516701849,0
"There is no lunch or dinner in a dr's life , you eat when you get time.",12.0,558.0,1439.0,3.9319299197252566,2
seems like chanyeol sent a food truck for junmyeon?? 🥹🥹,6.0,548.0,2060.0,1.888595431214282,1
I think I kinda messed up for Sunday 😂 I ate lunch at the cafe and still have a roast for dinner this evening. I feel so full and have to eat again in 3 hours.,0.0,20.0,526.0,0.38232734043315714,0
Chanyeol sent a food truck to Junmyeon 🥹❤️,0.0,88.0,586.0,0.3745470386501848,0
Any legal teens need money for lunch or selling content #BUYINGCONTENT #Sellingcontents,11.0,608.0,391.0,4.835013304756211,2
CHANYEOL SENT A FOOD TRUCK FOR JUNMYEON,5.0,127.0,740.0,2.1428777550719365,2
fun boy three is ltrlly my comfort food holy crap everytime i eat that shit i get reminded of how great life can be sometimes &lt;3 luv u threebuns,1.0,74.0,53.0,1.062974314882027,1
"Well, that was nice. Had plans to do not much today and then 5 friends with 4 dogs messaged as they'd driven out for a walk in the forest and wondered if we were able to join them in the pub down the road for Sunday lunch. Excellent unexpected hugs and food!",7.0,207.0,1338.0,2.4705900803016747,2
This smoothie I just made 😋🔥,0.0,45.0,666.0,0.3651088865869427,0
Chanyeol sent food truck for Junmyeon's filming!,0.0,48.0,418.0,0.3983718733098908,0
Wait food truck from Chanyeol???,1.0,106.0,6082.0,0.3315124797922548,0
CHANYEOL SENT JUNMYEON A FOOD TRUCK 😭😭😭😭😭,0.0,34.0,326.0,0.4150702321309948,0
chanyeol sent a food truck for myeon 🥹,0.0,46.0,232.0,0.4371163943451164,0
Stop! Chanyeol sent food truck to Suho! My heart ❤️ 🍒🐰,0.0,26.0,318.0,0.4167080089306651,0
"My jollof rice come be like pap🌝 I don cook rubbish ooo 

Shege 1-0 Berry 🥹",3.0,259.0,11085.0,0.45624659522631356,0
"Just made this man’s packed lunch for the week and tbh I would wife me too!
Food bangs way too much🤤🤤🤤",0.0,52.0,304.0,0.4196632390832469,0
I'm hanging out with my bf 9-11th February so that might mess with the abc diet a bit. Might switch around some of the 500 cal days and see if he has a gym nearby his campus/on his campus,3.0,145.0,436.0,1.5819051565470381,1
Nothing worse than scrolling thro after lunch and someone's got his dick out,1.0,82.0,311.0,0.8363419581223875,1
"Any dommes in London today or next week that I can buy lunch or dinner for? Please dm x

findom finD findomme femdom paypig paypiggy finsub cashcow humanatm sph kiksession skypesession footbitch footfetish walletdrain cei joi ct pindick goddess domme exposure humiliation",12.0,506.0,150.0,6.0404481844420275,2
"In Washington DC.
It's quite warm this Winter, now snow! Climate change is real! 
Organic food everywhere - Green Tea!
Say NO to GMO!",132.0,49061.0,137714.0,1.7672127530608503,1
Name one cuisine which is halal but you've never tried it?,4.0,136.0,1107.0,1.6248315158921924,1
cHANYEOL SENT A FOOD TRUCK TO JUNMYEON 😭😭😭,0.0,42.0,2197.0,0.2637416229167399,0
"Day 8 of #DryJanuary and low kcal diet, and I'm already thinking about what treat I can have on the 28th for the #RoyalRumble 😂👋",2.0,209.0,1846.0,0.8399759155335663,1
Made such a nice lazy Sunday lunch 🫶🏾,1.0,181.0,4663.0,0.38189624228651986,0
“i feel like i have ‘english teacher the closest kids have lunch with’ energy” “i wonder why that is. do you think it’s the rainbow earrings? the mushroom sweater? or maybe the flower socks?”,5.0,184.0,668.0,2.1893083607368466,2
i went to a really good restaurant last night that served a bunch of japanese italian fusion dishes and all i could think abt the whole time was kojiro nanjo and how i was absolutely gonna steal some of the dishes for a fic at some point,1.0,35.0,23.0,1.1818272415697282,1
You go to one debrief lunch with gay people and then it traumatizes you for the rest of your life (hyperbole) I can’t live like this any longer (hyperbole),2.0,94.0,50.0,1.6062409694604378,1
"I’ve been to buy meds, I’ve taken the meds, I also bought comfort food and the Masters is on the telly. Feeling gritty but on the way to a warm and fuzzy evening.",3.0,72.0,836.0,1.3907954963605416,1
Chanyeol sent food truck to Suho’s filming. Imma cry 🥹😭,0.0,41.0,1454.0,0.3015412992084501,0
"[230108] 23:54 — 🐺

hello~~~

i’m practicing right now~🤩

i’m practicing for the concert

i’m on a diet so i’m not eating anything amazing

practicing the fanchant doesn’t sound too bad?!?

sushi is a diet food..

but today is real diet

pork belly is protein

+",104.0,4064.0,2566.0,26.138909967234124,2
"My dad asked me to come visit today and thirty minutes into my visit he and my mum left to their friend’s place. Almost two hours later, he calls me to tell me that he sent someone to come get me so I come eat. I get here and it’s a whole 25th anniversary lunch for my parents??",0.0,276.0,354.0,0.40960079527044285,0
"Ma gran thinks my son can do wrong...

My son doesn't eat his lunch: Oh, he's a good boy!

My son is cheeky: Oh, he's a good boy!

My son causes WW3: Oh, he's a good boy!",1.0,122.0,540.0,0.7609006529968321,1
"diet plan for next few weeks
- finish 111hr fast on jan 11th
- 100cal on jan 11th, daily then increase by 100cals, ending on 800cal
- 5 days of maintenance 800-1k cals net
- 70cals a day for one week or however long i wanna go, then slowly increase cals back to a maintenance week",0.0,69.0,171.0,0.4564187623333149,0
Stop dating people that only want you when you’re aesthetically pleasing!!!!!!!!YES a snack is a quick fix 👀 but there is nothing like soul food,1.0,24.0,38.0,1.1086238886440116,1
"Blackcap in the garden lunch time.  Hoping it might reappear for a photo but no luck so far.  First winter one I've had here, once again it's down to the draw of ivy berries.",3.0,156.0,267.0,1.7123963220826557,1
"I’m fine with problematizing/ not teaching Western canon.

European culture really only should be for people who go to Europe annually, live in a city w/ good Shakespeare productions, can afford the food/ wine, have leisure time for Russian novels.

Make it elitist again.
…",67.0,9844.0,12292.0,7.220244509529954,2
"Your diet should consist of more nutrient dense foods with little solid fats and less added sugars 

More nutrient dense foods provide more nutrients per calorie 

They're also less calorically dense than your typical processed, wrapped foods.",0.0,35.0,94.0,0.4941218981311693,0
Fasting works better and quicker than dieting ‼️,1.0,154.0,258.0,0.8606192623951749,1
"Saw a girl I went to high school out at Sunday lunch today and offered to hang out with her sometime and I don’t know why I did that, I do not want to hang out. Ever.",1.0,447.0,118.0,0.9594580875696324,1
"so i’ve seen a few tiktoks saying that changing your diet is the way to lose weight?? and not exercise?? surely that’s wrong, i can stop eating but i’m still consuming calories and not burning them off? or am i just being stupid",0.0,52.0,1158.0,0.32118833589958384,0
"I was thrown out of weight watchers this afternoon for making sarcastic comments during the weigh in.
Of course, I accepted their decision with enormous Grace because she was thrown out too.",616.0,15948.0,30371.0,32.42620622780447,2
Happiness is... baking a cake and gobbling it all up without guilt.,2.0,127.0,5248.0,0.5388889253497969,1
Cracked the BEST streusel coffee cake recipe. So so good 🤤,2.0,331.0,3112.0,0.6908208062477946,1
"Hello peoples! I have a smoothie recipe for you!

THIS MAKES 2 SERVINGS!

1 1/2 cups of almond milk
1/4 cashew butter
1 scoop of protein powder
1 banana
1 cup of ice (Or more to the consistency of your liking)
Then Blend!",1.0,11.0,9.0,1.3354751721255163,1
Pepper soup and white rice combo is 🥵,12.0,1046.0,5359.0,2.30934466955315,2
Lemme make my protein smoothie 😊,0.0,31.0,3776.0,0.21142162685405286,0
Pho is my comfort food,0.0,22.0,109.0,0.48473388663469597,0
And I want African food 🤦🏾‍♂️,0.0,79.0,692.0,0.36223528342632433,0
risking a delivered ramen w/soup today,1.0,13.0,76.0,1.0155131198151417,1
"My ultimate diet cheat flex is that I actually like oat and a lot of veggies, and also not like sugar and fried stuff",4.0,451.0,451.0,1.9656918317906753,1
I act like I'm okay but deep down I miss Nepal ko Momo,0.0,47.0,195.0,0.44814272724629217,0
I’m already thinking about what’s for lunch 😂 I do not eat breakfast the way I need too,0.0,156.0,226.0,0.4387869220662469,0
I made Sunday lunch today &amp; now everyone is looking at me with eyes of concern 😅,0.0,238.0,122.0,0.4776300520627707,0
fulfilled the prophecy of being a dual citizen (ate burger king at the airport as my last meal in spain),2.0,61.0,210.0,1.3303589197974308,1
i care for Mario because they stole my lunch money!,1.0,8.0,119.0,0.9583950067868401,1
"Been out for Sunday lunch, now back to read more of #TheBulletThatMissed whilst the snooker is on in the background. Bliss.",3.0,116.0,294.0,1.6873946299481617,1
Thinking about having this lunch thing with my sisters during the week when they both are in the office... We dont bond like at all 😩,3.0,163.0,2537.0,1.0001341394145722,1
"ㅤ
ㅤ
      psht , students. 

how about we organise a fair , here at the nevermore academy ?  
          food trucks , rides 
                      and
                    games !

( ps ; if your name ends with weems -- don't read this , it is a surprise. )",6.0,360.0,323.0,2.909761636410784,2
Attempting to make Southern Sea Food Gumbo with my Great Aunt’s recipe. Wish me luck ☺️,0.0,331.0,549.0,0.37926433472275317,0
"Last night I looked at myself in the mirror, was repulsed so i punched the hell out of my stomach 🙃 I hate how I look. Really really really hate how I look but I have zero motivation for diet changing and fitness. Little depression demon is keeping me down.
#mentalhealth",1.0,20.0,99.0,0.9816545988699916,1
I miss drinking Kombucha for free at work lml I need to get some it’s been a while,0.0,151.0,272.0,0.42689998990482175,0
I used to have 500 pesos a day for lunch money(2016) now you’re telling me kids are getting 5k a week?!? Fuck this I ain’t getting a child💀,14.0,1813.0,4660.0,2.865152017184422,2
I had a dream I was in NYC eating Jollof Rice. Think it’s a sign to go back .,1.0,53.0,63.0,1.039992326179751,1
"I don’t get how nobody talks about beetroot on here. It’s insanely low calorie, very filling, absolutely delicious and has so many health benefits, how can you NOT eat it especially if you’re on a diet..justice for beetroot.",7.0,152.0,1087.0,2.611881537587247,2
my college-kada planned to bring packed lunch na para iwas gastos this 2023 🤪🤘🏼,0.0,165.0,1231.0,0.31600221744758145,0
"Good morning Belleville! We open at 11am @quintemall location &amp; look forward to serving you.

Today's soup is Cream of Potato &amp; we're pleased to feature:

APPY: Half-Priced Wings
$13 Lunch Pizza: Your favorite!
Sandwich: Big Dipper",1.0,48.0,1123.0,0.6475332141103706,1
"We're all packed up. Going to take a walk on the beach, have some lunch, maybe to the store, dinner and head home. It was a good few days with family and friends but I'm ready to get back to our normal ❤️",12.0,599.0,391.0,5.2379310801525625,2
"ive been on time alll week my boss said "" what you want for lunch its on mee. "" guess ima have to start coming on time more often 😅",0.0,66.0,737.0,0.35745663687007606,0
"5 best doctors in the world.
1: Sun
2:Rest 
3:Diet
4:Exercise
5:Self-Respect",1.0,39.0,122.0,0.9552601041255414,1
I think we are eating Ramen today 🫶🏻,1.0,172.0,327.0,0.8297359757431679,1
I’m addicted I don’t even take a lunch break off 🤑🤦🏽‍♂️,0.0,42.0,171.0,0.4564187623333149,0
"I asked this Turkish guy for directions, and I literally said thank you in Turkish. He then asked me if I wanted a job at the Turkish restaurant. 😂",2.0,283.0,488.0,1.1629044846367798,1
Shroom smoothie,0.0,72.0,871.0,0.34446524034749815,0
"Very insightful analysis by @AlexNeilSNP on the state of the Scottish Parliament today. In the early days of the Parliament I 'd worked with Alex on cross-party bills to abolish warrant sales, introduce free and healthy school meals and indeed Alex's own Bank Arrestment Bill /",13.0,3645.0,12052.0,1.5072008996670339,1
Should give street food a shot tomorrow. Fingers crossed.,0.0,146.0,5470.0,0.1757004986161872,0
I just realised I don’t have a favorite food per-se I have a comfort food,1.0,28.0,24.0,1.175396009092147,1
Time for lunch,0.0,7.0,150.0,0.4646498603416944,0
back at school and i already miss cava and tropical smoothie 💔💔they need to make one over here,0.0,247.0,1740.0,0.2854149971592987,0
I know it's like 10am here but I'm already really excited about my salmon and salad I have planned for lunch 😋😂,12.0,235.0,898.0,4.446510616069867,2
cheese toasties is an underrated breakfast/lunch,0.0,97.0,689.0,0.3625624628707875,0
Binged the entirety of Darling In The Franxx and now I'm moving on to Spy X Family next! Any other anime recommendations I should check out to spending my lunch/evenings on?,3.0,192.0,142.0,1.872362267389283,1
church &amp; lunch with dad 🤍,0.0,268.0,2105.0,0.267772061225473,0
Bookmark this plant-based ONE-PAN MEDITERRANEAN DINNER 🌶️🥕🍠🍚follow @Iupilon for more easy healthy recipes!,0.0,20.0,377.0,0.4053803496739191,0
Lunch time in brazil ! Go grab some food ! :),7.0,306.0,563.0,3.019601774202404,2
"Academics and readers: I'm looking for short stories, novels, plays that focus on courtship meals (dinner dates, lunch dates, etc.). Any time food enables, accompanies, or confounds a wooing. Please share any titles that spring to mind? Thanks. #foodstudies #foodliterature",5.0,1046.0,76.0,3.046539359445425,2
"No pill is going to make you happy.

No magic diet is going to help you lose 40 pounds in a month.

No secret investment the rich don’t want you to know will make you a millionaire.

There are no quick fixes in life.

Anyone that tells you there are is trying to scam you.",4.0,269.0,811.0,1.750369559390738,1
"Fermented foods will change your life. Organic sauerkraut, kombucha, yogurt/kefir, fermented garlic. Add these to your diet and limit alcohol. Better immune system, sharper mind, and better performing investment portfolio will result.",4.0,136.0,104.0,2.438518809513008,2
"crepe: skiry with weird partign in tje middle 
 
 mayu: thats called shorts crepe,,",0.0,3.0,169.0,0.457158532221692,0
Sun dried tomato chicken with Cous cous for lunch 😋😋,4.0,118.0,2023.0,1.3574749437583156,1
"God is wonderful eh, the person next to me in the bus is smelling like a pot of rich afang soup!! How? How??? How is an oyibo smelling like afang?",2.0,351.0,10497.0,0.35506027807998186,0
I didn’t even eat Mexican food until I got stationed in Oklahoma. Now my place of choice knows my order by HEART,2.0,545.0,3178.0,0.6846928698122235,1
"Ladies and gentlemen, I am formally on a diet again. I would really like to maintain a healthy weight, and feel good when I look in the mirror. So, back on pace, spinach, tuna and chicken breast.",1.0,206.0,736.0,0.7151206103974976,1
"3 one-person business killers:

Poor diet
Insufficient sleep
Lack of exercise

Take care of yourself by making healthy choices in these areas. Your business (and overall well-being) will thank you.",9.0,242.0,162.0,4.598170478295225,2
"My taboo take as a dietitian:
  
If you have a healthy relationship with food, tracking your intake for 1-7 days is the quickest way to transform your diet.

Don’t knock me till you try it.",1.0,42.0,31.0,1.137627584565369,1
I've run out of ideas on what to cook for tomorrow so yup no lunch box haha beli cafe je la sekali sekala,0.0,151.0,837.0,0.3476050320598693,0
love crepes,2.0,120.0,1167.0,0.961605801255154,1
"Now that you mention it, I don't think I've had lunch yet. Figures that I'd feel faint.",0.0,3.0,133.0,0.472202433799323,0
"You would need less “self control” against temptations if you actively avoided them instead of knowingly walking head first into tempting situations. Applies to dieting, fidelity, and many other things.",11.0,752.0,2997.0,2.8072106119792584,2
Had lunch with the fam 2 birthdays I gave my nephew some lego set to build and he was happy as a clam the entire time,0.0,70.0,864.0,0.3451037516958353,0
