text,likes,followers
"Leo: Ehh, but I’m in the mood for cup noodles... Makes me wanna show off the “Cup Ramen Song” I wrote before!",0,42
my friend just called a crepe a crap I'm on the flood,2,403
"# Dont get suckered in by bear market rallies, says GMOs gleefully bearish founder UK’s competition watchdog criticises lender over breach of ‘bundling’ rules that affected 700 SMEs",0,4
"1/9 Lunch 
Chicken Ts
Fries

1/9 Dinner 
Braised Short Ribs
Mashed Potato 
Gr. Beans",1,183
i want ramen im craving it so badly i think i’ll die if i don’t eat some soon 😵‍💫,0,105
I accidentally put Pepsi in the ramen.  ...Should I still eat this?,0,12
I just paid $20 for a smoothie and avocado toast and I don’t like it so now I have to see if I’m gonna go buy a second breakfast 😩,0,1533
I eat an over easy egg sandwich ever day for lunch I can never get tired of em 😭💯,0,569
"At the height of Rin Tin Tin's fame, a chef prepared him a daily steak lunch. Classical musicians played to aid his digestion. #TMYK",0,1163
"I guarantee you that if we want to help them. So, our mayor, my friend, Rudy Giuliani. Dwight D. Democrats are eating your lunch on this television without these commercials. Hampshire, a great economy — you know, that’s what I am a nice guy. Let’s do Ivanka. Can't do it.",0,42
# UKs competition watchdog criticises lender over breach of bundling rules that affected 700 SMEs 🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊Russia and Ukraine sign grain deal to avert global food crisis,0,2
"Guys, don't miss this opportunity, this project will be a great investment for you. Claim your airdrop 💸
Get ready for the moon 🚀🚀🚀🌕

@GMO_Project
#GMO #GrowMine #LetsMineTogether #KDA #BNB #PassiveIncome #Cryptomining",0,167
Making a Buffalo chicken salad for lunch and I’m very excited,0,103
i was having lunch with microsoft,0,97
"7.2 billion dollars approximately have already been pledged for Pakistan at Geneva Conference. Another session of pledges due after lunch
#PMShehbazinGeneva",2,2821
"So non-card question for my SoCal based Twitter friends. We're planning a trip to Southern California and want to see the Padres,  Dodgers, and Angels. What do ticket prices usually run for those stadiums? Any suggestions on food/parking/arrival time? @LAcarddude",11,3283
I want Tamales for lunch,2,813
My favorites: karak tea and turkish (chicken) shawarma on a cold weather 🥶,1,46
I need to go to Tán restaurant in NYC as soon as possible. Those who know aside from pasta I love Mexican food.,0,142
"I was really meant to live a life of leisure, not work…I need 3 hours to myself in the morning, 30 min at the beginning and end of the day at work, an hour of lunch, 30 min for my mental health walk, and 2 hours at night before I go to sleep…",4,89
"I Like my girls BBW, type that wanna suck you dry and then eat some lunch with you🥺",4,173
I’ve made a fresh smoothie every day in this year 💕 I’m proud of myself,0,331
love getting VIOLENTLY HUNGRY two hours before it’s acceptable to take a lunch,1,396
Pour two fingers of Oakley Brothers' Distillery - #whisky #drinkmorewhisky,0,63
For lunch,0,902
"when i bath with cold water, don't wear any jackets/sweaters and drink cold coffee and cold drinks in winters everyone calls me €hut¡¥@ 

but when rahul gandhi does these it is suddenly a national news about how strong he is!

why god whyyy",2,46
having lunch at 10 is crazyy,4,934
"Feeling more normal today, whatever that means.
Still a little foggy in the head, but I'm working and thinking and pursuing low calorie snacks.",1,1235
"• Fireworks                                                 • Snow-shoeing
• Ice Skating
• Ice Sculpture
• Tube sledding
• Cross-country skiing
• Fire pits w/ smores
• Food Trucks &amp; Taste Fest Tent
• Main stage w/music
• Firepits w/S’mores
• Axe throwing
#OaklandCounty",4,2075
Mrs Dorothy made me chicken Lasagna for lunch today she’s the best 🤞🏾,1,580
Who wants to join me in a #dessert of the month club? Basically where we get together once a month and swap out one great dessert recipe that we made with each other. It could even be savory. Man I wish I had more friends that lived closer. 😔😕,6,47
WHO HAS SECOND LUNCH TODAY,6,129
What should I eat for lunch??? 🤔,0,1217
"Men:

You are being exposed to chemicals every day that are turning you more feminine.

Plastics
Herbicides
Soybean oil

That is just to name a few. 

Testosterone is declining and these chemicals are a significant cause. 

There's more to your health than diet and exercise.",228,12699
"Say I need a beta day…
Pack a 200 calorie lunch. 😅

I need to spice up my weight loss. How have I maintained twice this week?",6,749
How much better is town on lunch without kids running everywhere 🤌,0,68
I stopped drinking diet soda 9 days ago and gained 12 pounds,11,3853
"I remember being locked up, all the other dudes looked at me crazy for befriending the craziest dude in there. Ate lunch with him everyday. Little did they know he was crazy smart. A Moor. 

My upbringing prepared me I guess, cuz he reminded me of my uncle. 

Fear can be a liar.",0,21
Organic brined Turkey with Cremini roast mushrooms kardashian style rice pilaf scarfed by the photographers,0,147
"Jan 9 Specials-Homemade Meatloaf, Mashed Potatoes &amp; Mixed Vegetables;
Soups-Thai Chicken with Rice;
Filipino-Pork Sinigang",1,218
Is @BarbequeNation provide only halal food in pan India restaurant??,1,139
getting kbbq on firsay inneed to starve,0,40
i always giggle in my head when i type my lunch number that starts with 420 🍃,3,434
"# Scientists say weather will stay hotter and drier until November, compounding concerns about food and energy 🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊Germany’s Uniper and Austria’s OMV plan to use rouble accounts for payments while Eni of Italy weighs options",0,0
I didn’t bring a lunch to work today so I’m not going to get to eat anything until 4:00 or so.,0,2338
"I really like peas, but when I see them go into recipes I lose interest. Lol. I guess I really just like peas by themselves.",1,588
Im fasting until lunch and Ima eat a edible and let this Monday take me on a ride,0,1690
Thinking of taking myself out on a lunch date today #selflove,1,41
"You need to know a few things about me going into this story, I bear a lot of grudges and I love French cuisine",0,48
I want this reverse colorism debate wrapped up by lunch bc it’s making me throw up in my mouth,1,340
"Why is it that as soon as you get 1 hour out of a big city, everyone drinks roast squirrel sh*te instead of coffee?",1,1330
Smoothie Mondays,0,473
# Arrangement underscores more conservative approach amid US government probes into bulk share sales 🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳China/Ukraine: siding with Russia puts food security at risk,0,0
It’s 3pm and I’ve still not had lunch,1,1107
"Well. That was something. My 3yo slept past 7, woke up in great spirits, talked my ear off all morning (to the point it was hard to get his lunch prepped) and was excited to get dressed to get to day care. 

Worried something’s off. Waiting for the other shoe to drop. 🤷🏻‍♂️",16,1026
"you ever stayed home from school and was like ""i would've been in lunch right now""",0,271
shoutout to the ethical scammers who left me 20 euros in my account for lunch 🤝,0,182
"Why do office people like to point out that you're eating lunch early, what does that have to do with you?",3,1163
"Hello @theliverdr ,is there any proof that scientifically designed yogasans will improve conditions in heart disease ,diabetes? As my knowledge hardcore exercise along with good diet and medication only works and nothing else.",1,64
"You can’t expect your body to be energetic if you don’t take care of it.

- Exercise
- Meditate
- Fix your diet
- Fix your sleep schedule

This is the secret to performing your best.",0,104
I made my first phone call at work already today… I really never start working til after lunch break fr 😂🥴,0,2669
Let me make my smoothie &amp; hit the gym,0,893
For todays lunch hunt:,2,1164
"The best way to be successful and support each other? Do it together! Hubby wanted to start going to the gym and I figured why not go with him? 8 is at school, I have a 1 hour lunch, gym is 5 minutes away = plenty of time! The best way to be successful and support each other?",1,171
07:04am No Way Out - D Generation - No Lunch (Columbia),0,1404
"Somebody flipped the buy button and went to lunch, didn't they?",4,1524
The way that Bananas elevate your smoothie is just remarkable,5,1452
I want a tropical smoothie 😩,0,1294
had my morning iced coffee now just need my lunch break blunt i do not care about this job,0,166
"Don't tackle a #healthy diet all at once. Start by replacing empty calories w/ #WholeFood options.
 #LivingHealthy",0,79
waiting for this tilapia n banku..,0,270
"Traditional lasagna recipes call for the use of many different types of cheeses. In southern Italy, ricotta and mozzarella are most often used, whereas the dish Lasagna Bolognese includes Parmesan cheeses and a nutmeg-flavored sauce.",0,92
What’s your favorite comfort food?,0,7
hmmmm. Burger King or McDonald's for lunch today,0,287
Customer came in wanting her Big Mac replaced from last night. Could not accept the fact we will not have lunch ready for another hour and a half.,0,770
date idea: listening to music and baking my cookies,0,1393
"Pop reading quizzes have conditioned me to have lunch until i finished reading this chapter, but i think hunger is #winning this round",0,32
Nah cause imagine actually getting to have lunch with Dom and just being able to sit and chat with him. I want this so fucking bad.,0,62
# Corebridge business would be valued at up to 15.5bn compared with 22.2bn secured last year 🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳Decision follows sharp rise in food prices due to Russia’s invasion of Ukraine and Covid pandemic,0,1
"How choices are made.

I continue to eat Mexican food. I like the taste of Mexican food MORE than I like to be thin. And I don't want to set aside time to exercise.

And that was my choice.

Watching TV could be more important than prospecting?",1,31333
"i WANNA EAT RAMEN UGHH,,,,, I DONT LAYK INSTANT RAMEN 😭😭 I WANT REAL RAMEN 😭😭😭",0,3
"# Dont get suckered in by bear market rallies, says GMOs gleefully bearish founder 🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑Debate over whether key post-crisis regulation will survive says much about the financial zeitgeist",0,4
"🗓 Today 7am-1:30pm @ TSMC: Sundt Lunch Tent (32200 N 43rd Ave, 85083) @sffPHX",0,8
"Sick to my stomach fucking around with my niece this morning I forgot to grab my lunch for work 😭 bitch my steak, potatoes, string beans, garlic bread and brownies left on the counter I’m finna cry in the bathroom.",3,3103
This vegetable detox smoothie is 🤢,0,320
"Been eating a lot of crab legs lately. Tasty and very low calorie, especially when you hold the ghee and just use lemon juice and seasoning (Old Bay, natch). A couple of thoughts:

#calred",0,158
"Syllabub [SIL-ə-bəb]
noun
Unknown, 16th century

A whipped cream dessert, flavored with white wine or sherry.

Examples

We sampled syllabub for the first time while on vacation in Greece.
Lil makes a delicious syllabub out of whipping cream, white wine, lemon, nutmeg, and sugar.",0,4305
Why does kimchi taste good at Korean food restaurants but absolutely horrible when you buy from the store? Does anyone else have this problem?,13,17337
"Todays such a Monday. Was late to work, forgot my lunch at my house like what else",1,355
Today's Specials: Come out and enjoy our creamy Shrimp &amp; Grits for Lunch ($13.25) or Dinner ($17.55) We also have our Casino Fish &amp; Shrimp ($18.75) on special at 4:00 pm,0,76
"Chef's Night is now better than ever. 3 courses+ coffee includes wine, beer or a cocktail on Mon., Wed. &amp; Thur. except some holidays. $37.95 but CASH only. No gift certificates. No groups (7+). Our Classic menu (credit cards OK) is ALWAYS available.",0,39
"""It's me, the eyes and ears of this place. Anything you need? Tour guide? Lunch date? Shoulder to cry on?""",1,93
anyone lunch or dinner or,1,27
Are you interested in learning about VA Tech’s Corp of Cadets program?  Bring your lunch to the CCC TODAY &amp; hear from a former Wolverine who is currently in the Corp of Cadets. All students are welcome. Registration not required. @theWPboard @WPHSSS,3,130
"why is everyone in my dreams so laid back. i got robbed and everyone was like, damn. that sucks, but what are we eating for lunch. i’m the only one freaking out!!!",2,231
"I've always wanted to eat crepes at a cafe, do you want to get some crepes with me? ☆",0,691
We are open for the year. Please send in your Jollof orders 🙏,1,1605
the way that the yakiniku cured my headache just like that,0,34
┣┓웃┏♨❤♨┑유┏┥ (It's  and lunch time has come..),0,476
Day 8 of my 10 day Green Smoothie detox. 🥤,0,1301
"STUDY BREAK TIME, let's go check out 2023's Food Trucks 😋",1,4776
So ready for qdoba for lunch 🤤,0,88
lunch today was grapes also i miss ada a lot i’m feeling weird again 😑,0,18
Spending my lunch break watching gengar clips&gt;,1,289
But anyways I need to scribble in tonight’s workout during my lunch break🥹 hopefully nobody up my ass bc when i take it out all of a sudden eyes wander,0,466
Let’s all pour one out for the slice of lasagna I was supposed to eat for lunch but left on the counter 😢,7,248
"The recipe I'm following says to slice up some ginger.

Anybody know where I can find Harry?",0,575
can’t wait for lunch time 😩,0,1271
BOOM!!  It's noon time Halifax!  Enjoy your lunch!,0,16
"My toxic trait is, I always want to go out to lunch. Who buying?",4,1626
"I wonder if the government has considered the dangers of forcing everyone to study maths to 18.

Once the majority of the populous understands statistics you're not going to be able to sneak an n=17 study you did on your lunch break through as something to base policy on.",4,366
"Mixer Mondays, 9p to midnight: Buy 1, Get 1 Rail and Call Mixers! #doublebubble #cocktails #mondaybooze",0,268
PRE HOT LUNCH MIX DJ MIKE AGENT X CLSARK  NO. 5,0,490
gonna buy that bento cake soon,0,1
"For a better fitness, Do workout and follow a healthy Diet on every single day without fail. There is no substitute to consistency in our efforts to reach and get a better Healthy life.🚶
Don’t stop..!!
#HealthConcious",0,286
Keiichi-san's lunch box is most assuredly filled with nothing but bread crusts like some sort of destitute plebeian~! Why don't you just show it to us? Come now!,1,216
Butter chicken and garlic naan for lunch.,3,932
TOMORROW IS ANOTHER JOLLOF DAY☺️,0,14151
2023 I’m trying restaurant ramen !,0,827
"Packed a lunch, left the house, opened the work email. Re-entry one step at a time.",1,81
Hi I'm Jimmy Saville the world renowned pedophile and Elon Musk is baking me a cake!  #elonmusk,1,1258
"Quick Tip Monday
Topic: Managing Stress

-Recognize that it's normal to feel stressed
-Take breaks/self-care
-Practice deep breathing/meditation
-Get enough sleep
-Eat a healthy diet
-Exercise regularly
-Set realistic goals
-Practice gratitude",5,146
"Putting a Smoothie King in the same plaza as the gym? Genius! Me, finally going to said Smoothie King a month ago, creating an account, loading it with money, then ordering today without having to pay? Genius!",1,519
"Two dishes I love now: buljol and callaloo soup. 

Very hearty meals.",2,2007
"A questionnaire I was filling out asked something like ""How often do you skip meals because you can't afford to buy food?"" &amp; I was about to select Never when I realized I've been eating basically 1 meal/day for the past 20 years. And it ain't because I'm on no diet.",0,1102
"At least 1,200 kcal to go for today, diet/clean eating back in business 🤭☺️",0,318
"You subs were a major disappointment yesterday, being so quiet on a worship sunday is a SIN. You all have serious making up to do. Send $20 for lunch now!",2,524
"Makan malam sate madura + bakso 😻😻😻

It’s been a while",0,42
Lunch is about to start so I'll draw Clock then,1,21
Why is it that middle America doesn’t like cocktail recipes?,0,345
Haven't even had a lunch break..might aswell keep going till 4,0,590
"got m two medicines, had breakfast (yummy sandwich that was for school lunch *giggles*) and now m dinkin tea &lt;3",0,100
"#WhileWeLabour: “We are baking that National Cake!”
#WhenYouVoteObi: “That is your Labour!”
#WhenYouLabour: “You-no-go despair!” 

I don’t know Paradise is like in Islam, but for 4 years, it will be Paradise for all Nigerians.",0,362
"What I miss is the wonderful Cuban cuisine that the maid created our family had when I was very young! Mom created them too! Arroz con pollo, (Chicken with rice), Picadillo which is a chopped meat dish with tomato paste, green olives, raisins etc. And Platanos (fried bananas) Yum",0,310
I'm having pizza for lunch so I feel accomplished.,2,57
"left my mom's car with full tank and gave her some money for lunch, she was so surprised and grateful. loved seeing her happy like that, i want to do this everytime I'm back in the rurals.",2,384
# London and Zurich benefited from 2.1bn in fundraising this year as US and China debated auditing rules 🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗Al desko to alfresco: three of London’s most fascinating lunch-break walks,0,0
Homework done ✅ Onn my lunch,0,8
Is it me or instant ramen is even better uncooked,0,55
sooo anyone got third lunch on odd days 🚼,4,120
"Okay I’m done… I’m ready for lunch, I’m so hungry",0,1216
Didn’t bring lunch and forgot my wallet 🤦🏿‍♂️,0,1281
I’m bout to get my girl back because I had to pack my own lunch for work .,2,1390
"Y’all, I was out and about in Dallas over the weekend and saw one of the #RHOD while I was at lunch! She was one of the white women that I actually liked. Only #RHOD I actually love is Tiffany, though.",0,60
"People putting plans for going to places and making itenary!

Meanwhile me and my friends in Coimbatore:

Masal dosa illanu sollitaan, vaaa Ooty polam...

Cake inga illanu sollitaan vaaa Coorg polam!

Legend Padam fdfs Kasi theatre LA paaka polam vaaa!",1,134
i hate that i hate eating like why can’t i just have a nice lunch without stressing,0,0
"A meal of grilled meats, a salad, cocktail and burger plus fries muli K250 clearly I’m not making any money from this, I just want my fellow @Chefy187 fans to have a really good time. 
Ba Kitwe, let’s make this happen. #BrokeNolunkumbwa",75,36679
"You no get money dem carry you commot go restaurant you say you no Dey like cos you’ve been there before. You go ahead to choose an expensive restaurant in the name their sushi is nice and they have great customer service. No go dey do pass yourselfooo Portia, yoo 😅",2,12286
Is it wrong for me to also think about a pred and their friends? I can’t stop thinking about them casually offering me up as lunch for one of their friends. Or deciding that they should eat me instead.. and giving them my number 😳,5,268
Fasting without praying is dieting.,1,1244
guys what should i have for my bday lunch on the 23rd? i need to figure it out so i can tell my work,2,55
Lunch is taking its sweet time getting here...,1,2519
Dieting is the only game where you win when you lose!,0,239
After eating Mexican Food I become very sleepy.,0,1164
the most important question I ask at work is if I want cava or sweet green for lunch. nothing else really matters.,1,5908
